Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription,ListOfKeysWithDuplicate,ListOfKeysWithNoplicate,ListOfKeys
ACLBSYS,ASA,Graphic components,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ABLBSYS  (Graphic components  )",,CAT(Category) +   CODFIC(Code) +   ,CAT(Category) +   CODFIC(Code) +   
RSLINESGER2,RSLG2,Recapitulative statement,A/P-A/R accounting,KDEAT,,,"TABCOUNTRY  (Country table  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , REPLINDEF  (Report line definitions  )",USERID(User identity+ adxuid) +   __||__USERID(User identity+ adxuid) +   GEREECNUM(EU VAT no.) +   TRNTYP(Turnover type) +   ,__||__ ,USERID(User identity+ adxuid) +    __||__   USERID(User identity+ adxuid) +   GEREECNUM(EU VAT no.) +   TRNTYP(Turnover type) +   
ACLOB,ACB,Special folders,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ATYPEPRO  (Content type  )",,CODBLB(Code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   ,CODBLB(Code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   
AGRPCPY,AGC,Company groupings,Supervisor,,"Accounting,Common data","Accounting Data,Business Partner","COMPANY  (Company  ) , AGRPFCY  (Site groupings  )",__||__,GRP(Group) +   CPY(Company) +   __||__ CPY(Company) +   GRP(Group) +   ,GRP(Group) +   CPY(Company) +    __||__   CPY(Company) +   GRP(Group) +   
ACODIF,ACO,Section coding,Supervisor,,,,,__||__ENGDES(English description) +   __||__FREDES(Description) +   ,ABB(Abbreviation) +   __||__ __||__ ,ABB(Abbreviation) +    __||__   ENGDES(English description) +    __||__   FREDES(Description) +   
TMPCNSBAN,TCB,Bank inquiry,A/P-A/R accounting,,,,"TABCOUNTRY  (Country table  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  ) , TABPAM  (Payment mode table  ) , TABPAYTYP  (Payment types  )",__||__USRCRE(User) +   ADXNUM(No.) +   __||__ACCNUM(Unique number) +   __||__NUMPAY(Payment no.) +   USRCRE(User) +   ADXNUM(No.) +   ,TCBNUM(Internal number) +   __||__ __||__ __||__ ,TCBNUM(Internal number) +    __||__   USRCRE(User) +   ADXNUM(No.) +    __||__   ACCNUM(Unique number) +    __||__   NUMPAY(Payment no.) +   USRCRE(User) +   ADXNUM(No.) +   
ACODNUM,ANM,Doc sequence numbers,Supervisor,,,,"ATABLE  (Table dictionary  ) , ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  )",,CODNUM(Sequence number) +   ,CODNUM(Sequence number) +   
ACONSTANT,ACST,Constants,Supervisor,,,,"ACTIV  (Activity codes  ) , ACONSTANT  (Constants  )",__||__,CODVAR(Variable code) +   __||__ CATEG(Category) +   CODVAR(Variable code) +   ,CODVAR(Variable code) +    __||__   CATEG(Category) +   CODVAR(Variable code) +   
ACONSULT,ACN,Inquiries,Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , AOBJET  (Basic objects  ) , ACONSULT  (Inquiries  ) , GTABACC  (Inquiry screens  ) , AWINDOW  (Window dictionary  )",,COD(Code) +   ,COD(Code) +   
LTAPAR,LTP,Sage Sales Tax connection,Sales,LTA,,,"TABCOUNTRY  (Country table  ) , ADOSSIER  (Folder table  ) , SFOOTINV  (Invoicing elements  )",,DOSSIER(Folder) +   ,DOSSIER(Folder) +   
ACONTEXT,ACTX,Context,Supervisor,,,,"ACTIV  (Activity codes  ) , ATYPE  (Data types  ) , ATABDIV  (Miscellaneous tables  ) , ACONTEXT  (Context  )",__||____||__,CODCTX(Context code) +   __||__ CHAPTER(Chapter) +   RANG(Sequence) +   CODCTX(Context code) +   __||__ PARAM(Parameter) +   CODCTX(Context code) +   ,CODCTX(Context code) +    __||__   CHAPTER(Chapter) +   RANG(Sequence) +   CODCTX(Context code) +    __||__   PARAM(Parameter) +   CODCTX(Context code) +   
ACTCODPAR,AAR,Action parameters,Supervisor,,,,ACTCODPAR  (Action parameters  ),,CODPAR(Parameter code) +   ,CODPAR(Parameter code) +   
LTAVCR,LTV,Local tax by sales document,Sales,LTA,,,"TABCOUNTRY  (Country table  ) , TABCUR  (Currency table  ) , SFOOTINV  (Invoicing elements  )",,VCRTYP(Entry type) +   VCRNUM(Entry) +   LTVSEQ(Sequence number) +   ,VCRTYP(Entry type) +   VCRNUM(Entry) +   LTVSEQ(Sequence number) +   
ACTION,ACT,Action dictionary,Supervisor,,,,"ACTIV  (Activity codes  ) , ACONSULT  (Inquiries  ) , AWINDOW  (Window dictionary  ) , ACTION  (Action dictionary  )",,ACTION(Action code) +   ,ACTION(Action code) +   
ACTIV,ACV,Activity codes,Supervisor,,,,ACTIV  (Activity codes  ),__||____||__,CODACT(Activity code) +   __||__ MODULE(Module) +   CODACT(Activity code) +   __||__ ORDRE(Order) +   CODACT(Activity code) +   ,CODACT(Activity code) +    __||__   MODULE(Module) +   CODACT(Activity code) +    __||__   ORDRE(Order) +   CODACT(Activity code) +   
SDELIVERY,SDH,Delivery header,Sales,,Sales,"Sales Deliveries,Sales Returns","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , TABPAYTERM  (Payment term table  ) , GAUTACE  (Automatic journals  ) , TABDEPAGIO  (Early discount/late charge table  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , BPDLVCUST  (Ship-to customer  ) , STOLOC  (Locations  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , TABSDHTYP  (Table types deliveries  )",__||__BPCORD(Sold-to) +   BPAADD(Delivery address) +   DLVDAT(Delivery date) +   __||____||__INVFLG(Invoiced) +   CFMFLG(Validated) +   SALFCY(Sales site) +   BPCINV(Bill-to customer) +   __||__CPY(Company) +   EECNUMDEB(EU Intrastat) +   DLVDAT(Delivery date) +   ,SDHNUM(Delivery no.) +   __||__ __||__ DLVDAT(Delivery date) +   SDHNUM(Delivery no.) +   __||__ __||__ ,SDHNUM(Delivery no.) +    __||__   BPCORD(Sold-to) +   BPAADD(Delivery address) +   DLVDAT(Delivery date) +    __||__   DLVDAT(Delivery date) +   SDHNUM(Delivery no.) +    __||__   INVFLG(Invoiced) +   CFMFLG(Validated) +   SALFCY(Sales site) +   BPCINV(Bill-to customer) +    __||__   CPY(Company) +   EECNUMDEB(EU Intrastat) +   DLVDAT(Delivery date) +   
ACTL,ACL,Control tables,Supervisor,,,,ACTL  (Control tables  ),,CTL(Table) +   ,CTL(Table) +   
ACTLDEV,ACD,Reserved brackets,Supervisor,,,,,,COD(Development code) +   ,COD(Development code) +   
SINVOICEV,SIV,Costing sales invoice,Sales,,Sales,"Sales Deliveries,Sales Invoice","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , GAUTACE  (Automatic journals  ) , TABPAM  (Payment mode table  ) , FACTOR  (Factors  ) , TABDEPAGIO  (Early discount/late charge table  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , BPDLVCUST  (Ship-to customer  ) , STOLOC  (Locations  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , CMARKETING  (Marketing campaign  ) , TABSIVTYP  (Customer invoice type table  )",__||__SIHORI(Document origin) +   SIHORINUM(Original document no.) +   __||__,NUM(Invoice no.) +   __||__ __||__ INVTYP(Invoice category) +   NUM(Invoice no.) +   ,NUM(Invoice no.) +    __||__   SIHORI(Document origin) +   SIHORINUM(Original document no.) +    __||__   INVTYP(Invoice category) +   NUM(Invoice no.) +   
ACTPAR,ATR,Action parameters,Supervisor,,,,"ACTCODPAR  (Action parameters  ) , ACTION  (Action dictionary  )",__||__CODPAR(Parameter code) +   ,ACTION(Action code) +   NOPAR(Parameter no.) +   __||__ ,ACTION(Action code) +   NOPAR(Parameter no.) +    __||__   CODPAR(Parameter code) +   
ADELETE,ADL,Deletion,Supervisor,,,,AOBJET  (Basic objects  ),__||__,NUM(Number) +   __||__ OBJ(Object) +   CLE1(Identifier) +   CLE2(Identifier) +   ,NUM(Number) +    __||__   OBJ(Object) +   CLE1(Identifier) +   CLE2(Identifier) +   
SORDER,SOH,Sales orders - header,Sales,,"Customer relation,Purchasing,Sales","Service response,Normal Purchase Orders,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , TABPAYTERM  (Payment term table  ) , TABDEPAGIO  (Early discount/late charge table  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , BPDLVCUST  (Ship-to customer  ) , INCOTERM  (Incoterms  ) , TABSDHTYP  (Table types deliveries  ) , SERREQUEST  (Service requests  ) , CMARKETING  (Marketing campaign  ) , TABINVCND  (  ) , TABSOHTYP  (Order type table  )",__||__BPCORD(Sold-to) +   CUSORDREF(Customer order ref) +   __||__CUSORDREF(Customer order ref) +   BPCORD(Sold-to) +   __||__ORDSTA(Order state) +   BPCORD(Sold-to) +   __||____||__ORDSTA(Order state) +   INVSTA(Invoice status) +   SOHCAT(Order category) +   ,SOHNUM(Order no.) +   __||__ __||__ __||__ __||__ ORDSTA(Order state) +   SOHNUM(Order no.) +   __||__ ,SOHNUM(Order no.) +    __||__   BPCORD(Sold-to) +   CUSORDREF(Customer order ref) +    __||__   CUSORDREF(Customer order ref) +   BPCORD(Sold-to) +    __||__   ORDSTA(Order state) +   BPCORD(Sold-to) +    __||__   ORDSTA(Order state) +   SOHNUM(Order no.) +    __||__   ORDSTA(Order state) +   INVSTA(Invoice status) +   SOHCAT(Order category) +   
ADELIVERB,ADLB,Deliverable,Supervisor,,,,"AFONCTION  (Function dictionary  ) , ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  )",__||__,COD(Code) +   CODFNC(Function) +   CODBDG(Badge) +   __||__ COD(Code) +   CODBDG(Badge) +   CODFNC(Function) +   ,COD(Code) +   CODFNC(Function) +   CODBDG(Badge) +    __||__   COD(Code) +   CODBDG(Badge) +   CODFNC(Function) +   
SPRICLINK,SPK,Sales price list search,Sales,,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , TABPACKAGE  (Packaging table  ) , ITMSALES  (Products - sales  ) , INCOTERM  (Incoterms  ) , BPCUSTOMER  (Customers  ) , TABSOHTYP  (Order type table  )",,CLE(Key) +   ,CLE(Key) +   
ADELIVERD,ADLD,Deliverable,Supervisor,,,,"ACTIV  (Activity codes  ) , ADELIVER  (Deliverable  )",,COD(Code) +   CODACT(Activity code) +   ,COD(Code) +   CODACT(Activity code) +   
ADELIVERL,ADLL,Deliverable,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  )",,COD(Code) +   FNCLIM(Function limits) +   ,COD(Code) +   FNCLIM(Function limits) +   
SQUOTE,SQH,Quote header,Sales,,Sales,"Quotation,Sales Invoice","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , TABPAYTERM  (Payment term table  ) , TABDEPAGIO  (Early discount/late charge table  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  ) , TABSOHTYP  (Order type table  ) , TABSQHTYP  (Quote type table  )",__||__BPCORD(Customer) +   CUSQUOREF(Quote reference) +   ,SQHNUM(Quote no.) +   __||__ ,SQHNUM(Quote no.) +    __||__   BPCORD(Customer) +   CUSQUOREF(Quote reference) +   
ADELIVERO,ADLO,Deliverable,Supervisor,,,,"ATABLE  (Table dictionary  ) , ATABTAB  (Miscellaneous table set-up  ) , ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  ) , AWRKLNK  (Data models  )",__||__COD(Code) +   TABCOD(Table) +   TABAWM(Template) +   ,COD(Code) +   TABCOD(Table) +   TABKEY(Record key) +   __||__ ,COD(Code) +   TABCOD(Table) +   TABKEY(Record key) +    __||__   COD(Code) +   TABCOD(Table) +   TABAWM(Template) +   
ADELIVERP,ADLP,Deliverable,Supervisor,,,,ADELIVER  (Deliverable  ),,COD(Code) +   PARAM(Description) +   CLEPARAM(Key) +   ,COD(Code) +   PARAM(Description) +   CLEPARAM(Key) +   
SRETURN,SRH,Sales return header,Sales,,Sales,Sales Returns,"TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , PIMPL  (  ) , GAUTACE  (Automatic journals  ) , BPCARRIER  (Carriers  ) , STOLOC  (Locations  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , TABSRHTYP  (Return type table  )",__||__SDHNUM(Loan delivery no.) +   __||__CPY(Company) +   EECNUMDEB(EU Intrastat) +   RTNDAT(Return date) +   __||__,SRHNUM(Return no.) +   __||__ __||__ __||__ RTNDAT(Return date) +   SRHNUM(Return no.) +   ,SRHNUM(Return no.) +    __||__   SDHNUM(Loan delivery no.) +    __||__   CPY(Company) +   EECNUMDEB(EU Intrastat) +   RTNDAT(Return date) +    __||__   RTNDAT(Return date) +   SRHNUM(Return no.) +   
ADELIVERR,ADLR,Deliverable,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  ) , ASHW  (Representations  )",,COD(Code) +   CODASW(Representation) +   CODBDG(Badge) +   ,COD(Code) +   CODASW(Representation) +   CODBDG(Badge) +   
ADELIVERT,ADLT,Deliverable,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  )",,COD(Code) +   CODSES(Session type) +   CODDVC(Device) +   ,COD(Code) +   CODSES(Session type) +   CODDVC(Device) +   
ADICTRT,ADC,Processes dictionary,Supervisor,,,,ACTIV  (Activity codes  ),,CODTRT(Processing) +   ,CODTRT(Processing) +   
ADIMENSION,ADM,Sizing elements,Supervisor,,,,,__||__,COD(Code) +   __||__ ORDRE(Order) +   COD(Code) +   ,COD(Code) +    __||__   ORDRE(Order) +   COD(Code) +   
PORDER,POH,POs,Purchasing,,"Purchasing,Sales","Purchase Requests,Normal Purchase Orders,Cumulative Purchase Orders,Normal Sales Orders,Cumulative Sales Orders","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABCONTAINER  (Freight container  ) , PFOOTINV  (Purchase invoicing elements  )",__||____||__,POHNUM(Order no.) +   __||__ BPSNUM(Supplier) +   ORDDAT(Order date) +   POHNUM(Order no.) +   __||__ ORDDAT(Order date) +   POHNUM(Order no.) +   ,POHNUM(Order no.) +    __||__   BPSNUM(Supplier) +   ORDDAT(Order date) +   POHNUM(Order no.) +    __||__   ORDDAT(Order date) +   POHNUM(Order no.) +   
ADOCBLB,ADB,Documentation (linked files),Supervisor,,,,"TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  )",,LAN(Language) +   TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   LIG(Line) +   ,LAN(Language) +   TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   LIG(Line) +   
ADOCCLB,ADH,Documentation (texts),Supervisor,,,,"TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  )",,LAN(Language) +   TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   ,LAN(Language) +   TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   
PORDERP,POP,POs price,Purchasing,,Purchasing,"Purchase Requests,Normal Purchase Orders,Cumulative Purchase Orders","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  ) , MATCHTOL  (Matching tolerance  )",__||____||__PRHFCY(Receiving site) +   POHNUM(Order no.) +   POPLIN(Line) +   __||__ITMREF(Product) +   POHTYP(Order type) +   ,POHNUM(Order no.) +   POPLIN(Line) +   POPSEQ(Sequence) +   __||__ POHNUM(Order no.) +   POPLIN(Line) +   POPDAT(Application end date) +   __||__ __||__ ,POHNUM(Order no.) +   POPLIN(Line) +   POPSEQ(Sequence) +    __||__   POHNUM(Order no.) +   POPLIN(Line) +   POPDAT(Application end date) +    __||__   PRHFCY(Receiving site) +   POHNUM(Order no.) +   POPLIN(Line) +    __||__   ITMREF(Product) +   POHTYP(Order type) +   
ADOCFLD,ADZ,Field documentation,Supervisor,,,,"TABLAN  (Language table  ) , ADOCFLD  (Field documentation  )",__||__,LAN(Language) +   MOTCLE(Key word) +   __||__ MOTCLE(Key word) +   LAN(Language) +   ,LAN(Language) +   MOTCLE(Key word) +    __||__   MOTCLE(Key word) +   LAN(Language) +   
ADOCFNC,ADF,Documentation links,Supervisor,,,,"ACTIV  (Activity codes  ) , ATABDIV  (Miscellaneous tables  )",,TYP(Type of document) +   COD(Code) +   NUM(Line number) +   ,TYP(Type of document) +   COD(Code) +   NUM(Line number) +   
PORDITM,POI,Purchase orders by product,Purchasing,,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  )",__||__,USR(Operator) +   NOLIG(Line number) +   __||__ USR(Operator) +   POILIN(Order information) +   ,USR(Operator) +   NOLIG(Line number) +    __||__   USR(Operator) +   POILIN(Order information) +   
ADOCUMENT,ADO,Documentation,Supervisor,,,,"TABLAN  (Language table  ) , ACTIV  (Activity codes  ) , ATABDIV  (Miscellaneous tables  ) , AMSK  (Screen dictionary  )",__||__LAN(Language) +   TYP(Type of document) +   COD(Code) +   PAR(Paragraph) +   __||__COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   __||__TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   ,LAN(Language) +   TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   __||__ __||__ __||__ ,LAN(Language) +   TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +    __||__   LAN(Language) +   TYP(Type of document) +   COD(Code) +   PAR(Paragraph) +    __||__   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +    __||__   TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   
ADOPAR,ADP,Parameters,Supervisor,,,,"ACTIV  (Activity codes  ) , ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , AOBJET  (Basic objects  )",__||____||____||____||__,CHAPITRE(Chapter) +   PARAM(Description) +   __||__ PARAM(Description) +   __||__ CHAPITRE(Chapter) +   RANG(Sequence) +   PARAM(Description) +   __||__ OBJET(Object) +   PARAM(Description) +   __||__ CHAPITRE(Chapter) +   GRPPAR(Group) +   PARAM(Description) +   ,CHAPITRE(Chapter) +   PARAM(Description) +    __||__   PARAM(Description) +    __||__   CHAPITRE(Chapter) +   RANG(Sequence) +   PARAM(Description) +    __||__   OBJET(Object) +   PARAM(Description) +    __||__   CHAPITRE(Chapter) +   GRPPAR(Group) +   PARAM(Description) +   
PQUOTATF,PQF,RFQ supplier detail,Purchasing,,Purchasing,Request For Quotations,"TABCOUNTRY  (Country table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  )",__||__,PQHNUM(RFQ no.) +   BPSNUM(Supplier) +   __||__ BPSNUM(Supplier) +   PQHNUM(RFQ no.) +   ,PQHNUM(RFQ no.) +   BPSNUM(Supplier) +    __||__   BPSNUM(Supplier) +   PQHNUM(RFQ no.) +   
